Index,Symbol,Company Name,Market Cap,Last Sale,% Change,Revenue
1,AAPL,Apple Inc.,3278.87B,218.27,1.95%,395.76B
2,MSFT,Microsoft Corporation,2908.62B,391.26,1.14%,261.80B
3,NVDA,NVIDIA Corporation,2871.88B,117.70,-0.70%,130.50B
4,AMZN,"Amazon.com, Inc.",2079.38B,196.21,0.65%,637.96B
5,GOOG,Alphabet Inc.,2011.46B,166.25,0.73%,350.02B
6,GOOGL,Alphabet Inc.,1999.04B,163.99,0.73%,350.02B
7,META,"Meta Platforms, Inc.",1510.69B,596.25,1.75%,164.50B
8,AVGO,Broadcom Inc.,901.18B,191.66,0.59%,54.53B
9,TSLA,"Tesla, Inc.",799.98B,248.71,5.27%,97.69B
10,NFLX,"Netflix, Inc.",410.77B,960.29,0.99%,39.00B
11,COST,Costco Wholesale Corporation,403.42B,909.26,1.55%,264.09B
12,TMUS,"T-Mobile US, Inc.",292.10B,255.84,-0.46%,81.40B
13,ASML,ASML Holding N.V.,281.06B,716.22,-2.43%,29.26B
14,CSCO,"Cisco Systems, Inc.",239.89B,60.30,-0.53%,54.18B
15,AZN,AstraZeneca PLC,232.35B,74.93,-2.08%,54.07B
16,LIN,Linde plc,216.75B,458.33,0.13%,33.01B
17,PLTR,Palantir Technologies Inc.,213.33B,90.96,4.09%,2.87B
18,PEP,"PepsiCo, Inc.",199.48B,145.45,-1.16%,91.85B
19,ISRG,"Intuitive Surgical, Inc.",176.45B,492.49,0.14%,8.35B
20,PDD,PDD Holdings Inc.,175.87B,126.64,-3.27%,53.96B
21,QCOM,QUALCOMM Incorporated,173.35B,156.82,-0.72%,40.70B
22,AMD,"Advanced Micro Devices, Inc.",172.48B,106.44,-0.65%,25.79B
23,AMGN,Amgen Inc.,169.78B,316.04,0.32%,33.42B
24,INTU,Intuit Inc.,168.87B,604.04,0.60%,17.17B
25,ADBE,Adobe Inc.,168.42B,387.26,-0.60%,22.04B
26,TXN,Texas Instruments Incorporated,162.88B,179.00,-0.93%,15.64B
27,BKNG,Booking Holdings Inc.,151.52B,"4,617.26",0.62%,23.74B
28,SNY,Sanofi,143.52B,56.90,-1.54%,45.85B
29,CMCSA,Comcast Corporation,138.95B,36.75,0.68%,123.73B
30,HON,Honeywell International Inc.,136.32B,210.12,-0.37%,38.50B
31,GILD,"Gilead Sciences, Inc.",133.35B,107.08,1.14%,28.75B
32,VRTX,Vertex Pharmaceuticals Incorporated,129.22B,503.20,-1.37%,11.02B
33,ARM,Arm Holdings plc,125.50B,119.07,,3.69B
34,AMAT,"Applied Materials, Inc.",123.59B,152.12,-1.46%,27.64B
35,PANW,"Palo Alto Networks, Inc.",120.71B,182.32,-0.92%,8.57B
36,ADP,"Automatic Data Processing, Inc.",120.16B,295.32,-0.74%,19.90B
37,SBUX,Starbucks Corporation,110.26B,97.07,-2.23%,36.15B
38,APP,AppLovin Corporation,106.76B,314.03,2.38%,4.71B
39,MELI,"MercadoLibre, Inc.",106.22B,"2,095.27",1.34%,20.78B
40,MU,"Micron Technology, Inc.",105.53B,94.72,-8.04%,31.32B
41,INTC,Intel Corporation,105.05B,24.26,1.25%,53.10B
42,ADI,"Analog Devices, Inc.",101.38B,204.40,-0.73%,9.34B
43,LRCX,Lam Research Corporation,97.35B,75.84,-2.21%,16.21B
44,CME,CME Group Inc.,94.90B,263.35,-1.20%,6.12B
45,KLAC,KLA Corporation,93.88B,706.49,-1.39%,10.85B
46,CRWD,"CrowdStrike Holdings, Inc.",89.79B,362.24,-1.84%,3.95B
47,MDLZ,"Mondelez International, Inc.",83.45B,64.51,0.88%,36.44B
48,EQIX,"Equinix, Inc.",81.23B,834.59,-2.01%,8.74B
49,DASH,"DoorDash, Inc.",80.08B,190.62,-1.20%,10.72B
50,ABNB,"Airbnb, Inc.",80.03B,128.80,2.10%,11.10B
51,MSTR,MicroStrategy Incorporated,79.18B,304.00,0.64%,463.46M
52,CTAS,Cintas Corporation,77.15B,191.17,-1.69%,9.94B
53,ORLY,"O'Reilly Automotive, Inc.",76.69B,"1,339.09",-0.30%,16.71B
54,TRI,Thomson Reuters Corporation,76.46B,170.01,-0.05%,7.26B
55,FTNT,"Fortinet, Inc.",75.86B,98.65,0.20%,5.96B
56,CDNS,"Cadence Design Systems, Inc.",71.93B,262.42,1.52%,4.64B
57,REGN,"Regeneron Pharmaceuticals, Inc.",70.47B,658.48,-0.62%,14.20B
58,CEG,Constellation Energy Corporation,69.71B,222.48,1.39%,23.57B
59,PYPL,"PayPal Holdings, Inc.",69.43B,70.19,0.75%,31.80B
60,SNPS,"Synopsys, Inc.",69.36B,448.60,-0.31%,6.07B
61,WDAY,"Workday, Inc.",66.45B,249.49,-0.39%,8.45B
62,MAR,"Marriott International, Inc.",65.47B,237.49,-3.00%,6.62B
63,NTES,"NetEase, Inc.",62.97B,97.05,-2.92%,14.43B
64,ROP,"Roper Technologies, Inc.",61.44B,572.18,-0.57%,7.04B
65,JD,"JD.com, Inc.",61.31B,42.24,-1.72%,158.76B
66,MRVL,"Marvell Technology, Inc.",60.96B,70.39,-0.14%,5.77B
67,TEAM,Atlassian Corporation,59.56B,227.34,0.52%,4.79B
68,CHTR,"Charter Communications, Inc.",57.66B,363.81,0.34%,55.09B
69,ADSK,"Autodesk, Inc.",56.92B,267.25,-0.21%,6.13B
70,CSX,CSX Corporation,56.02B,29.57,-1.37%,14.54B
71,AEP,"American Electric Power Company, Inc.",55.97B,105.11,-1.04%,19.72B
72,MNST,Monster Beverage Corporation,55.77B,57.31,0.77%,7.49B
73,CPRT,"Copart, Inc.",51.81B,53.63,-0.41%,4.51B
74,PAYX,"Paychex, Inc.",51.50B,143.02,-1.52%,5.37B
75,PCAR,PACCAR Inc,50.98B,97.11,-1.23%,33.66B
76,NXPI,NXP Semiconductors N.V.,50.89B,200.64,-0.99%,12.61B
77,COIN,"Coinbase Global, Inc.",48.20B,189.86,-0.27%,6.29B
78,FANG,"Diamondback Energy, Inc.",45.88B,158.50,0.01%,10.56B
79,KDP,Keurig Dr Pepper Inc.,45.52B,33.55,0.36%,15.35B
80,EXC,Exelon Corporation,44.03B,43.80,-1.77%,23.03B
81,BKR,Baker Hughes Company,43.67B,44.11,-1.30%,27.83B
82,NDAQ,"Nasdaq, Inc.",43.45B,75.55,-1.77%,7.40B
83,AXON,"Axon Enterprise, Inc.",42.91B,560.00,0.28%,2.08B
84,FAST,Fastenal Company,42.85B,74.73,-1.03%,7.55B
85,TCOM,Trip.com Group Limited,41.82B,64.23,-0.46%,7.30B
86,ROST,"Ross Stores, Inc.",40.76B,123.54,-0.85%,21.13B
87,VRSK,"Verisk Analytics, Inc.",40.00B,285.16,-0.88%,2.88B
88,XEL,Xcel Energy Inc.,39.71B,69.11,-1.40%,13.44B
89,CCEP,Coca-Cola Europacific Partners PLC,39.34B,84.92,-0.75%,21.16B
90,HOOD,"Robinhood Markets, Inc.",39.28B,44.36,1.60%,2.95B
91,LULU,Lululemon Athletica Inc.,39.17B,322.62,-0.56%,10.18B
92,CTSH,Cognizant Technology Solutions Corporation,37.80B,76.42,-1.02%,19.74B
93,TTWO,"Take-Two Interactive Software, Inc.",37.68B,213.47,1.83%,5.45B
94,EA,Electronic Arts Inc.,37.61B,144.30,0.73%,7.35B
95,ARGX,argenx SE,37.52B,615.02,0.32%,2.25B
96,GEHC,GE HealthCare Technologies Inc.,37.27B,81.49,-0.39%,19.67B
97,ALNY,"Alnylam Pharmaceuticals, Inc.",36.68B,283.34,11.75%,2.25B
98,DDOG,"Datadog, Inc.",36.00B,105.03,1.80%,2.68B
99,KHC,The Kraft Heinz Company,35.28B,29.52,-0.64%,25.85B
100,ODFL,"Old Dominion Freight Line, Inc.",35.12B,165.22,2.54%,5.81B
101,ACGL,Arch Capital Group Ltd.,34.38B,91.98,-0.51%,17.44B
102,IDXX,"IDEXX Laboratories, Inc.",34.24B,420.99,0.09%,3.90B
103,TW,Tradeweb Markets Inc.,33.63B,142.41,-0.41%,1.72B
104,WTW,Willis Towers Watson Public Limited Company,33.17B,332.71,-0.54%,9.93B
105,BIDU,"Baidu, Inc.",33.15B,94.54,0.29%,18.24B
106,FER,Ferrovial SE,32.23B,44.73,-0.49%,9.47B
107,CSGP,"CoStar Group, Inc.",32.18B,78.46,-0.71%,2.74B
108,ZS,"Zscaler, Inc.",31.75B,205.20,0.81%,2.42B
109,EBAY,eBay Inc.,30.65B,65.78,-0.84%,10.28B
110,DXCM,"DexCom, Inc.",28.84B,73.80,-1.74%,4.03B
111,ANSS,"ANSYS, Inc.",28.42B,324.20,-0.13%,2.54B
112,MPWR,"Monolithic Power Systems, Inc.",28.29B,590.98,-2.96%,2.21B
113,TTD,"The Trade Desk, Inc.",27.93B,56.31,0.82%,2.44B
114,TSCO,Tractor Supply Company,27.89B,52.46,1.20%,14.88B
115,MCHP,Microchip Technology Incorporated,27.82B,51.72,1.41%,4.76B
116,ERIC,Telefonaktiebolaget LM Ericsson (publ),27.46B,8.17,-0.97%,22.40B
117,ONC,"BeiGene, Ltd.",27.10B,251.98,-4.04%,3.81B
118,LI,Li Auto Inc.,26.58B,26.40,-1.36%,19.79B
119,WBD,"Warner Bros. Discovery, Inc.",26.36B,10.74,0.85%,39.32B
120,FITB,Fifth Third Bancorp,26.28B,39.48,0.13%,7.95B
121,FCNCA,"First Citizens BancShares, Inc.",25.13B,"1,851.20",0.45%,9.33B
122,SMCI,"Super Micro Computer, Inc.",25.02B,42.15,7.80%,20.82B
123,EXE,Expand Energy Corporation,24.98B,107.35,-1.74%,4.26B
124,FCNCO,"First Citizens BancShares, Inc.",24.91B,23.00,,9.33B
125,CHKP,Check Point Software Technologies Ltd.,24.70B,227.97,-0.51%,2.57B
126,UAL,"United Airlines Holdings, Inc.",24.51B,74.87,1.12%,57.06B
127,LPLA,LPL Financial Holdings Inc.,24.45B,327.90,-1.96%,12.08B
128,VOD,Vodafone Group Public Limited Company,24.38B,9.73,0.31%,41.28B
129,FOXA,Fox Corporation,24.21B,53.40,0.36%,15.18B
130,SBAC,SBA Communications Corporation,23.85B,221.64,0.30%,2.68B
131,RYAAY,Ryanair Holdings plc,23.68B,46.18,-1.45%,14.31B
132,FOX,Fox Corporation,23.34B,49.70,0.61%,15.18B
133,ZM,Zoom Communications Inc.,23.19B,75.97,-0.08%,4.67B
134,VRSN,"VeriSign, Inc.",23.13B,244.51,0.91%,1.56B
135,BNTX,BioNTech SE,22.89B,95.38,-0.88%,2.85B
136,CINF,Cincinnati Financial Corporation,22.79B,145.62,-0.41%,11.34B
137,EXPE,"Expedia Group, Inc.",22.40B,173.81,0.42%,13.69B
138,CDW,CDW Corporation,21.94B,165.57,-1.50%,21.00B
139,HBAN,Huntington Bancshares Incorporated,21.84B,15.02,0.47%,6.95B
140,ERIE,Erie Indemnity Company,21.44B,409.94,0.01%,3.80B
141,GFS,GlobalFoundries Inc.,21.36B,38.63,1.31%,6.75B
142,FWONK,Formula One Group,21.36B,85.88,-1.37%,3.62B
143,FWONA,Formula One Group,21.17B,78.68,-1.75%,3.62B
144,TROW,"T. Rowe Price Group, Inc.",20.67B,92.83,-0.23%,7.09B
145,BIIB,Biogen Inc.,20.62B,140.90,-0.34%,9.68B
146,NTRA,"Natera, Inc.",20.43B,151.15,1.02%,1.70B
147,SSNC,"SS&C Technologies Holdings, Inc.",20.30B,82.35,0.01%,5.88B
148,OKTA,"Okta, Inc.",19.75B,113.74,0.83%,2.61B
149,NTNX,"Nutanix, Inc.",19.48B,73.04,0.74%,2.32B
150,RPRX,Royalty Pharma plc,19.43B,33.70,0.60%,2.26B
151,DKNG,DraftKings Inc.,19.35B,39.49,2.73%,4.77B
152,NTRS,Northern Trust Corporation,19.33B,98.73,-0.14%,8.29B
153,PTC,PTC Inc.,19.23B,159.84,-0.04%,2.31B
154,IBKR,"Interactive Brokers Group, Inc.",18.89B,173.36,-1.42%,5.20B
155,GRAB,Grab Holdings Limited,18.89B,4.640,1.31%,2.80B
156,PODD,Insulet Corporation,18.84B,268.32,1.10%,2.07B
157,PFG,"Principal Financial Group, Inc.",18.78B,83.30,-0.99%,16.13B
158,NTAP,"NetApp, Inc.",18.76B,92.25,0.16%,6.51B
159,STX,Seagate Technology Holdings plc,18.69B,88.27,-0.12%,8.04B
160,TPG,TPG Inc.,18.47B,50.00,-0.97%,3.50B
161,ON,ON Semiconductor Corporation,18.45B,43.78,1.34%,7.08B
162,STLD,"Steel Dynamics, Inc.",18.39B,122.67,-3.13%,17.54B
163,ESLT,Elbit Systems Ltd.,18.19B,410.83,-0.53%,6.83B
164,KSPI,Joint Stock Company Kaspi.kz,18.05B,94.98,-0.87%,4.85B
165,DOCU,"DocuSign, Inc.",17.83B,88.06,3.47%,2.98B
166,CYBR,CyberArk Software Ltd.,17.40B,351.76,1.44%,1.00B
167,TRMB,Trimble Inc.,17.34B,70.54,-0.20%,3.68B
168,Z,"Zillow Group, Inc.",17.19B,71.25,0.44%,2.24B
169,ZG,"Zillow Group, Inc.",16.93B,69.78,0.74%,2.24B
170,WMG,Warner Music Group Corp.,16.88B,32.44,-0.12%,6.34B
171,GEN,Gen Digital Inc.,16.75B,27.18,-1.38%,3.90B
172,COO,"The Cooper Companies, Inc.",16.34B,81.71,1.64%,3.93B
173,ULTA,"Ulta Beauty, Inc.",16.26B,350.57,2.84%,11.30B
174,LNT,Alliant Energy Corporation,16.18B,63.05,-0.79%,3.98B
175,NWS,News Corporation,16.04B,30.77,-0.90%,10.25B
176,AFRM,"Affirm Holdings, Inc.",15.97B,49.90,4.07%,2.80B
177,DPZ,"Domino's Pizza, Inc.",15.83B,461.40,-1.00%,4.71B
178,CG,The Carlyle Group Inc.,15.78B,44.13,0.73%,4.74B
179,MDB,"MongoDB, Inc.",15.63B,192.54,1.71%,2.01B
180,EVRG,"Evergy, Inc.",15.51B,67.45,-0.77%,5.85B
181,FFIV,"F5, Inc.",15.47B,268.40,-0.03%,2.89B
182,NWSA,News Corporation,15.33B,27.04,-0.44%,10.25B
183,WDC,Western Digital Corporation,15.19B,43.66,-1.91%,15.60B
184,CASY,"Casey's General Stores, Inc.",15.00B,404.00,2.32%,15.55B
185,ICLR,ICON Public Limited Company,14.93B,184.87,0.49%,8.28B
186,ZBRA,Zebra Technologies Corporation,14.90B,289.99,1.75%,4.98B
187,JBHT,"J.B. Hunt Transport Services, Inc.",14.86B,148.55,0.72%,12.09B
188,LINE,"Lineage, Inc.",14.80B,58.42,-3.12%,5.34B
189,FUTU,Futu Holdings Limited,14.67B,106.36,-2.54%,1.54B
190,ARCC,Ares Capital Corporation,14.61B,21.76,0.14%,2.99B
191,ENTG,"Entegris, Inc.",14.58B,96.35,-2.73%,3.24B
192,SMMT,Summit Therapeutics Inc.,14.57B,19.75,1.59%,
193,INSM,Insmed Incorporated,14.47B,79.92,1.46%,363.71M
194,DLTR,"Dollar Tree, Inc.",14.35B,66.75,3.34%,31.22B
195,GLPI,"Gaming and Leisure Properties, Inc.",14.21B,50.20,-1.55%,1.53B
196,TER,"Teradyne, Inc.",14.15B,87.51,-0.76%,2.82B
197,SOFI,"SoFi Technologies, Inc.",14.11B,12.87,1.82%,2.64B
198,FSLR,"First Solar, Inc.",14.06B,131.32,2.23%,4.21B
199,UTHR,United Therapeutics Corporation,14.06B,312.99,-0.19%,2.88B
200,PAA,"Plains All American Pipeline, L.P.",14.05B,19.97,-1.33%,50.07B
201,SFM,"Sprouts Farmers Market, Inc.",14.04B,142.39,1.87%,7.72B
202,ITCI,"Intra-Cellular Therapies, Inc.",14.00B,131.65,0.04%,680.85M
203,DUOL,"Duolingo, Inc.",13.99B,309.30,1.02%,748.02M
204,FLEX,Flex Ltd.,13.94B,36.40,0.94%,25.58B
205,ILMN,"Illumina, Inc.",13.89B,87.66,3.38%,4.37B
206,HOLX,"Hologic, Inc.",13.79B,61.45,0.72%,4.04B
207,BMRN,BioMarin Pharmaceutical Inc.,13.59B,71.24,-0.50%,2.85B
208,MNDY,monday.com Ltd.,13.48B,265.45,0.34%,972.00M
209,LOGI,Logitech International S.A.,13.46B,90.00,-0.96%,4.56B
210,BSY,"Bentley Systems, Incorporated",13.25B,41.94,0.70%,1.35B
211,SYM,Symbotic Inc.,13.17B,22.39,3.42%,1.91B
212,RIVN,"Rivian Automotive, Inc.",13.12B,11.60,6.62%,4.97B
213,REG,Regency Centers Corporation,13.01B,71.50,-0.75%,1.50B
214,MORN,"Morningstar, Inc.",12.77B,298.12,0.82%,2.28B
215,MRNA,"Moderna, Inc.",12.63B,32.66,0.65%,3.24B
216,JKHY,"Jack Henry & Associates, Inc.",12.61B,173.05,-1.28%,2.27B
217,AUR,"Aurora Innovation, Inc.",12.58B,7.23,1.26%,
218,GMAB,Genmab A/S,12.56B,19.76,-0.40%,2.99B
219,EWBC,"East West Bancorp, Inc.",12.46B,89.99,0.11%,2.39B
220,ALGN,"Align Technology, Inc.",12.41B,168.61,-0.12%,4.00B
221,AKAM,"Akamai Technologies, Inc.",12.18B,81.04,-0.63%,3.99B
222,POOL,Pool Corporation,12.05B,320.14,-0.06%,5.31B
223,LBRDK,Liberty Broadband Corporation,11.99B,83.69,0.18%,1.02B
224,INCY,Incyte Corporation,11.98B,61.92,2.21%,4.24B
225,LBRDA,Liberty Broadband Corporation,11.98B,83.42,0.46%,1.02B
226,CHRW,"C.H. Robinson Worldwide, Inc.",11.86B,99.95,0.65%,17.72B
227,MBLY,Mobileye Global Inc.,11.82B,14.56,2.25%,1.65B
228,HTHT,H World Group Limited,11.78B,37.60,-0.29%,3.27B
229,PPC,Pilgrim's Pride Corporation,11.67B,49.23,-5.20%,17.88B
230,NDSN,Nordson Corporation,11.60B,204.04,-0.78%,2.67B
231,ALAB,"Astera Labs, Inc.",11.53B,71.10,3.09%,396.29M
232,ROKU,"Roku, Inc.",11.43B,78.29,6.06%,4.11B
233,LAMR,Lamar Advertising Company,11.39B,111.19,-0.86%,2.21B
234,CPB,The Campbell's Company,11.35B,38.08,0.26%,10.12B
235,COKE,"Coca-Cola Consolidated, Inc.",11.34B,"1,300.63",-0.99%,6.90B
236,GGAL,Grupo Financiero Galicia S.A.,11.34B,58.56,3.90%,6.78B
237,TXRH,"Texas Roadhouse, Inc.",11.29B,169.88,-0.51%,5.37B
238,SAIL,"SailPoint, Inc.",11.27B,20.25,1.86%,824.20M
239,NBIX,"Neurocrine Biosciences, Inc.",11.16B,111.92,1.68%,2.36B
240,MMYT,MakeMyTrip Limited,11.09B,101.06,1.19%,935.76M
241,WWD,"Woodward, Inc.",11.00B,185.39,-0.64%,3.31B
242,FTAI,FTAI Aviation Ltd.,11.00B,107.23,0.50%,1.73B
243,VTRS,Viatris Inc.,10.92B,9.15,-3.07%,14.74B
244,LECO,"Lincoln Electric Holdings, Inc.",10.83B,192.02,-1.06%,4.01B
245,SWKS,"Skyworks Solutions, Inc.",10.81B,67.25,-1.67%,4.05B
246,PCTY,Paylocity Holding Corporation,10.73B,191.91,0.61%,1.50B
247,LKQ,LKQ Corporation,10.47B,40.40,-1.42%,14.36B
248,MANH,"Manhattan Associates, Inc.",10.46B,171.08,-0.79%,1.04B
249,HST,"Host Hotels & Resorts, Inc.",10.41B,14.69,-1.80%,5.69B
250,EXEL,"Exelixis, Inc.",10.34B,36.96,-0.59%,2.17B
251,RGLD,"Royal Gold, Inc.",10.32B,157.01,1.11%,712.77M
252,CART,Maplebear Inc.,10.29B,38.90,-0.08%,3.38B
253,MRNO,Murano Global Investments Plc,10.04B,11.16,4.79%,27.95M
254,ASND,Ascendis Pharma A/S,9.93B,165.99,1.68%,376.48M
255,DOX,Amdocs Limited,9.90B,88.27,-0.06%,4.87B
256,MEDP,"Medpace Holdings, Inc.",9.88B,324.23,1.44%,2.11B
257,TLN,Talen Energy Corporation,9.87B,214.81,0.87%,2.07B
258,NICE,NICE Ltd.,9.86B,156.78,1.81%,2.74B
259,VNOM,"Viper Energy, Inc.",9.69B,44.23,-2.51%,817.20M
260,WIX,Wix.com Ltd.,9.65B,172.33,1.89%,1.76B
261,SAIA,"Saia, Inc.",9.64B,362.90,3.01%,3.21B
262,SEIC,SEI Investments Company,9.63B,75.84,-0.22%,2.13B
263,PCVX,"Vaxcyte, Inc.",9.61B,74.66,0.27%,
264,WBA,"Walgreens Boots Alliance, Inc.",9.60B,11.10,-0.18%,150.41B
265,ALTR,Altair Engineering Inc.,9.59B,111.75,0.19%,665.79M
266,TECH,Bio-Techne Corporation,9.58B,60.61,0.45%,1.20B
267,AGNC,AGNC Investment Corp.,9.16B,10.17,-1.17%,973.00M
268,MASI,Masimo Corporation,8.95B,165.82,-2.17%,2.09B
269,FYBR,"Frontier Communications Parent, Inc.",8.94B,35.79,-0.45%,5.94B
270,CFLT,"Confluent, Inc.",8.85B,26.50,-0.45%,963.64M
271,TEM,"Tempus AI, Inc.",8.84B,51.35,6.89%,693.40M
272,LNW,"Light & Wonder, Inc.",8.76B,103.67,-0.63%,3.19B
273,DRS,"Leonardo DRS, Inc.",8.75B,33.00,-2.05%,3.23B
274,WYNN,"Wynn Resorts, Limited",8.71B,82.63,-0.53%,7.13B
275,BZ,Kanzhun Limited,8.69B,19.98,-1.53%,1.01B
276,DSGX,The Descartes Systems Group Inc.,8.66B,101.15,1.12%,651.00M
277,HSIC,"Henry Schein, Inc.",8.62B,69.39,-1.50%,12.67B
278,RKLB,"Rocket Lab USA, Inc.",8.59B,18.94,2.21%,436.21M
279,TTAN,"ServiceTitan, Inc.",8.51B,94.46,0.36%,771.88M
280,EXAS,Exact Sciences Corporation,8.47B,45.62,3.03%,2.76B
281,HAS,"Hasbro, Inc.",8.45B,60.57,0.31%,4.14B
282,HLNE,Hamilton Lane Incorporated,8.44B,150.64,0.97%,691.66M
283,JAZZ,Jazz Pharmaceuticals plc,8.43B,138.76,-1.29%,4.07B
284,PARAA,Paramount Global,8.40B,22.69,-0.22%,29.21B
285,LSCC,Lattice Semiconductor Corporation,8.36B,60.67,0.21%,509.40M
286,GTLB,GitLab Inc.,8.36B,50.95,-0.41%,759.25M
287,MIDD,The Middleby Corporation,8.28B,154.41,0.31%,3.88B
288,BILI,Bilibili Inc.,8.26B,19.87,-1.39%,3.68B
289,CHDN,Churchill Downs Incorporated,8.24B,112.10,0.08%,2.73B
290,CBSH,"Commerce Bancshares, Inc.",8.20B,61.24,-0.33%,1.63B
291,MKTX,MarketAxess Holdings Inc.,8.17B,216.87,-0.44%,817.10M
292,ENPH,"Enphase Energy, Inc.",8.15B,61.54,-0.24%,1.33B
293,ASTS,"AST SpaceMobile, Inc.",8.14B,25.71,4.13%,4.42M
294,XP,XP Inc.,8.13B,15.13,-0.53%,2.63B
295,FRHC,Freedom Holding Corp.,8.13B,134.05,-1.05%,1.58B
296,PNFP,"Pinnacle Financial Partners, Inc.",8.13B,105.99,0.44%,1.62B
297,VFS,VinFast Auto Ltd.,8.05B,3.440,3.61%,1.52B
298,HALO,"Halozyme Therapeutics, Inc.",8.02B,65.16,1.31%,1.02B
299,DBX,"Dropbox, Inc.",8.00B,26.50,0.49%,2.55B
300,PARA,Paramount Global,7.95B,11.86,-0.59%,29.21B
301,SIRI,Sirius XM Holdings Inc.,7.95B,23.47,1.87%,8.70B
302,MTSI,"MACOM Technology Solutions Holdings, Inc.",7.95B,106.89,-1.62%,790.55M
303,CRDO,Credo Technology Group Holding Ltd,7.87B,46.34,-0.32%,327.53M
304,RGEN,Repligen Corporation,7.86B,140.02,0.49%,634.44M
305,APPF,"AppFolio, Inc.",7.84B,215.37,-0.06%,794.20M
306,TTEK,"Tetra Tech, Inc.",7.78B,29.04,-0.75%,4.50B
307,CELH,"Celsius Holdings, Inc.",7.74B,32.93,5.38%,1.36B
308,FSV,FirstService Corporation,7.72B,170.30,0.31%,5.22B
309,ROIV,Roivant Sciences Ltd.,7.70B,10.79,-1.64%,122.59M
310,BECN,"Beacon Roofing Supply, Inc.",7.65B,123.77,-0.05%,9.76B
311,MTCH,"Match Group, Inc.",7.64B,30.49,-2.31%,3.48B
312,SATS,EchoStar Corporation,7.58B,26.46,-0.15%,15.83B
313,WTFC,Wintrust Financial Corporation,7.57B,113.45,-0.52%,2.35B
